t,i,q,dq,q_des,dq_des
0.525057,0,0.285517,0.153124,0.298496,0.000000
0.527055,0,0.285900,0.184711,0.298342,0.000000
0.529054,0,0.286284,0.190204,0.298176,0.000000
0.531060,0,0.286667,0.180134,0.297998,0.000000
0.533052,0,0.286667,0.147173,0.297809,0.000000
0.535052,0,0.287051,0.168688,0.297608,0.000000
0.537054,0,0.287434,0.242847,0.297394,0.000000
0.539068,0,0.287818,0.181507,0.297168,0.000000
0.541052,0,0.288201,0.192951,0.296933,0.000000
0.543051,0,0.288585,0.133898,0.296685,0.000000
0.545052,0,0.288585,0.102770,0.296425,0.000000
0.547057,0,0.288968,0.110552,0.296153,0.000000
0.549057,0,0.289352,0.114214,0.295869,0.000000
0.551057,0,0.289352,0.102312,0.295574,0.000000
0.553057,0,0.289735,0.160906,0.295267,0.000000
0.555051,0,0.290119,0.112383,0.294949,0.000000
0.557057,0,0.290119,0.132982,0.294618,0.000000
0.559057,0,0.290119,0.081255,0.294276,0.000000
0.561052,0,0.290502,0.075304,0.293924,0.000000
0.563059,0,0.290502,0.012131,0.293557,0.000000
0.565053,0,0.290886,0.073931,0.293182,0.000000
0.567057,0,0.290886,0.027695,0.292792,0.000000
0.569053,0,0.290502,-0.004349,0.292393,0.000000
0.571057,0,0.290886,0.017166,0.291981,0.000000
0.573058,0,0.290502,-0.028152,0.291558,0.000000
0.575057,0,0.290502,-0.015335,0.291123,0.000000
0.577055,0,0.290502,-0.074387,0.290677,0.000000
0.579058,0,0.290502,-0.022659,0.290219,0.000000
0.581056,0,0.290502,-0.057450,0.289751,0.000000
0.583056,0,0.290502,-0.035478,0.289270,0.000000
0.585057,0,0.290502,-0.007553,0.288778,0.000000
0.587057,0,0.290502,-0.049668,0.288274,0.000000
0.589058,0,0.290119,-0.057450,0.287759,0.000000
0.591057,0,0.290119,-0.036851,0.287233,0.000000
0.593057,0,0.290119,0.040512,0.286696,0.000000
0.595057,0,0.290119,0.008011,0.286147,0.000000
0.597057,0,0.290502,-0.020828,0.285587,0.000000
0.599058,0,0.290119,-0.071183,0.285015,0.000000
0.601057,0,0.290119,-0.023575,0.284432,0.000000
0.603058,0,0.290119,-0.020370,0.283838,0.000000
0.605059,0,0.290119,-0.032731,0.283233,0.000000
0.607058,0,0.290119,-0.035020,0.282616,0.000000
0.609069,0,0.290119,0.017166,0.281985,0.000000
