t,i,q,dq,q_des,dq_des
3.228037,0,-0.190025,-0.756008,-0.196427,-0.710793
3.238060,0,-0.197311,-0.680934,-0.203452,-0.690956
3.248033,0,-0.204214,-0.685512,-0.210242,-0.670539
3.258141,0,-0.210734,-0.661249,-0.216912,-0.649171
3.268075,0,-0.217253,-0.675441,-0.223254,-0.627536
3.278143,0,-0.223773,-0.629206,-0.229459,-0.604983
3.288075,0,-0.229526,-0.557336,-0.235355,-0.582144
3.298152,0,-0.235278,-0.550469,-0.241102,-0.558392
3.308046,0,-0.240647,-0.526665,-0.246509,-0.534525
3.318141,0,-0.246016,-0.517052,-0.251780,-0.509644
3.328068,0,-0.251385,-0.548638,-0.256716,-0.484674
3.338151,0,-0.256370,-0.533989,-0.261473,-0.458832
3.348074,0,-0.261356,-0.476768,-0.265898,-0.432949
3.358171,0,-0.265574,-0.380636,-0.270135,-0.406180
3.368070,0,-0.269409,-0.424582,-0.274024,-0.379540
3.378161,0,-0.272478,-0.388876,-0.277715,-0.352005
3.388039,0,-0.275929,-0.297780,-0.281057,-0.324711
3.398151,0,-0.278997,-0.369650,-0.284199,-0.296442
3.408039,0,-0.282449,-0.303731,-0.286992,-0.268514
3.418139,0,-0.285900,-0.376516,-0.289559,-0.239717
3.428075,0,-0.290502,-0.266194,-0.291799,-0.211153
3.438136,0,-0.292036,-0.252918,-0.293777,-0.182020
3.448075,0,-0.294337,-0.147631,-0.295442,-0.153062
3.458144,0,-0.295488,-0.089952,-0.296835,-0.123574
3.468044,0,-0.295488,0.061113,-0.297914,-0.094461
3.478146,0,-0.295104,0.003891,-0.298718,-0.064658
3.488074,0,-0.295104,0.058365,-0.299214,-0.035303
3.498156,0,-0.295104,0.007095,-0.299420,-0.005459
3.508083,0,-0.295104,-0.030442,-0.299328,0.023929
3.518134,0,-0.295104,-0.001144,-0.298938,0.053664
3.528043,0,-0.295104,-0.054246,-0.298261,0.082924
3.538146,0,-0.294721,0.048294,-0.297273,0.112676
3.548066,0,-0.293954,0.111925,-0.296011,0.141779
